project,bug_id,revision,test_id,label,granularity,mean_test_runtime_seconds,std_test_runtime_seconds,min_test_runtime_seconds,max_test_runtime_seconds,mean_coverage_ratio,std_coverage_ratio,min_coverage_ratio,max_coverage_ratio,mean_covered_line_count,std_covered_line_count,min_covered_line_count,max_covered_line_count,mean_changed_line_coverage_ratio,std_changed_line_coverage_ratio,min_changed_line_coverage_ratio,max_changed_line_coverage_ratio,mean_executed_file_count,std_executed_file_count,min_executed_file_count,max_executed_file_count,mean_executed_function_count,std_executed_function_count,min_executed_function_count,max_executed_function_count,mean_changed_file_coverage_ratio,std_changed_file_coverage_ratio,min_changed_file_coverage_ratio,max_changed_file_coverage_ratio,pass_rate,n_triggering_tests,meta_workspace,meta_source_test_ids
PySnooper,1,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\PySnooper_1_buggy,test_chinese
PySnooper,1,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\PySnooper_1_fixed,test_chinese
PySnooper,2,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\PySnooper_2_buggy,test_custom_repr_single
PySnooper,2,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\PySnooper_2_fixed,test_custom_repr_single
cookiecutter,1,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_1_buggy,test_generate_context_decodes_non_ascii_chars
cookiecutter,1,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_1_fixed,test_generate_context_decodes_non_ascii_chars
cookiecutter,2,buggy,__aggregate__,1,revision_aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_buggy,"test_find_hook,test_run_hook"
cookiecutter,2,fixed,__aggregate__,0,revision_aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_fixed,"test_find_hook,test_run_hook"
cookiecutter,3,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_3_buggy,test_click_invocation
cookiecutter,3,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_3_fixed,test_click_invocation
cookiecutter,4,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_4_buggy,test_run_failing_hook
cookiecutter,4,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_4_fixed,test_run_failing_hook
httpie,1,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_1_buggy,test_unique_filename
httpie,1,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_1_fixed,test_unique_filename
httpie,2,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_2_buggy,test_max_redirects
httpie,2,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_2_fixed,test_max_redirects
httpie,3,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_3_buggy,test_download_in_session
httpie,3,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_3_fixed,test_download_in_session
httpie,4,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_4_buggy,test_Host_header_overwrite
